Environmental Variable;nov/2020;nov/2020;dez/2020;dez/2020;jan/2021;jan/2021;fev/2021;fev/2021;mar/2021;mar/2021;abr/2021;abr/2021;mai/2021;mai/2021;jun/2021;jun/2021;jul/2021;jul/2021;ago/2021;ago/2021;set/2021;set/2021;out/2021;out/2021;nov/2021;nov/2021;dez/2021;dez/2021;jan/2022;jan/2022;fev/2022;fev/2022;mar/2022;mar/2022;abr/2022;abr/2022;mai/2022;mai/2022;jun/2022;jun/2022;jul/2022;jul/2022
;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var
CDOM (ppb);-0.39–1.72;-0.39–1.39;-0.46–0.72;-0.38–0.53;-0.41–0.83;-0.48–0.63;-0.51–0.47;-0.36–1.64;-0.64–1.04;-0.53–1.44;-0.44–0.33;-0.40–0.28;-0.40–0.46;-0.67–1.53;-0.73–1.64;-0.51–0.95;-0.41–0.18;-0.43–1.17;-0.43–0.65;-0.37–0.25;-0.16–-0.04;0.07;0.06;0.02;0.02;0.02;0.03;0.03;0.02;0.05;0.04;0.02;0.01;0.02;0.21;0.18;0.05;0.01;0.03;0.03;0.02;0.00
Chlorophyll (µg L⁻¹);-0.12–1.14;-0.18–0.98;-0.33–0.77;-0.37–1.02;-0.37–0.67;-0.30–1.06;-0.29–0.75;-0.32–0.70;-0.37–0.38;-0.48–0.60;-0.32–0.70;-0.32–0.42;-0.35–0.64;-0.35–1.10;-0.35–0.96;-0.36–0.81;-0.34–0.78;-0.32–0.95;-0.25–0.57;-0.21–0.67;0.01–0.36;0.03;0.02;0.04;0.03;0.03;0.02;0.02;0.02;0.01;0.02;0.02;0.01;0.02;0.04;0.02;0.02;0.02;0.03;0.02;0.01;0.03
DO (mL L⁻¹);-1.14–0.74;-1.17–0.51;-0.84–0.45;-0.94–0.41;-0.88–0.48;-1.09–0.43;-1.13–0.60;-0.98–0.42;-1.12–0.68;-1.31–1.18;-1.13–0.44;-1.24–0.52;-0.72–0.38;-1.22–0.70;-1.26–0.63;-1.04–0.48;-1.11–0.46;-0.96–0.81;-1.28–0.44;-0.26–0.48;0.23–0.32;0.07;0.08;0.06;0.05;0.06;0.04;0.05;0.08;0.10;0.10;0.03;0.08;0.02;0.18;0.18;0.09;0.09;0.03;0.05;0.01;0.00
E‑W current (m s⁻¹);-1.12–0.49;-0.29–0.34;-0.29–0.27;-0.34–0.27;-0.45–0.82;-0.36–0.39;-0.22–0.58;-0.64–0.75;-0.79–0.61;-0.96–0.79;-0.69–1.14;-0.60–0.89;-0.57–1.20;-0.48–0.37;-0.32–0.44;-0.13–0.23;-0.15–0.17;-0.54–0.54;-0.26–0.28;-0.26–0.51;-0.05–0.18;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.02;0.02;0.03;0.02;0.02;0.02;0.01;0.01;0.00;0.00;0.02;0.01;0.01;0.01
E‑W wind (m s⁻¹);-2.47–1.68;-2.12–1.62;-1.34–1.44;-1.76–1.50;-1.70–1.29;-1.73–1.24;-2.10–1.22;-1.56–1.15;-2.22–1.12;-1.88–1.44;-2.45–1.20;-1.76–1.32;-3.10–1.42;-1.80–1.37;-1.80–1.24;-1.67–1.06;-1.69–1.17;-1.79–1.29;-2.05–1.33;-1.74–0.92;-0.98–-0.49;0.42;0.35;0.20;0.25;0.20;0.24;0.23;0.20;0.24;0.19;0.21;0.21;0.40;0.34;0.26;0.22;0.20;0.23;0.23;0.23;0.05
N‑S current (m s⁻¹);-1.02–0.93;-0.95–0.89;-0.92–0.86;-1.00–0.95;-1.16–1.42;-1.11–1.10;-1.05–0.95;-1.11–0.94;-0.95–1.39;-1.00–0.93;-1.05–0.96;-1.06–1.18;-0.99–1.13;-0.83–0.66;-0.66–0.59;-0.71–0.72;-0.81–0.70;-0.90–0.69;-0.88–0.63;-0.69–0.65;0.13–0.37;0.17;0.18;0.18;0.22;0.22;0.22;0.20;0.14;0.15;0.15;0.18;0.18;0.12;0.08;0.08;0.10;0.10;0.08;0.09;0.08;0.01
N‑S wind (m s⁻¹);-2.78–2.08;-1.64–1.52;-1.52–1.59;-1.26–1.75;-2.10–1.32;-2.75–1.66;-2.63–1.34;-2.53–1.55;-2.70–1.43;-2.13–1.75;-2.80–1.59;-1.70–2.16;-2.85–2.30;-2.10–2.48;-1.89–1.94;-1.98–1.48;-1.84–1.48;-2.43–1.91;-2.12–1.89;-2.40–1.35;-1.61–-0.74;0.59;0.31;0.30;0.30;0.39;0.58;0.60;0.48;0.66;0.43;0.45;0.40;0.56;0.34;0.49;0.36;0.40;0.60;0.56;0.56;0.15
Rainfall (mm³);-0.87–14.25;-0.37–6.48;-1.67–28.50;-0.82–9.45;-0.72–8.17;-1.18–19.35;-0.73–9.40;-0.75–13.46;-0.95–17.98;-1.08–12.89;-0.36–6.42;-1.85–23.93;-1.60–26.44;-1.70–36.41;-0.31–5.25;-0.74–10.49;-1.68–24.41;-2.08–18.45;-1.03–9.86;-0.58–11.92;0.31–2.01;1.19;0.12;3.60;0.29;0.29;2.02;0.39;0.70;1.43;0.71;0.14;2.02;3.48;5.74;0.10;0.62;3.50;3.15;0.77;0.50;0.65
River discharge (m³ s⁻¹);-19.80–131.18;-18.98–99.36;-32.94–-16.54;-32.44–-31.18;-32.33–-31.60;-32.30–-31.23;-34.46–-14.34;-32.20–-31.76;-32.18–-31.52;-36.84–-31.42;-36.91–-36.27;-36.95–-36.28;-38.59–50.28;-26.33–559.07;5.60–292.08;-19.59–26.63;-19.37–-14.93;-17.75–-15.55;-17.71–-15.41;-56.20–-16.36;-67.24–-58.92;2090.32;1829.39;35.20;0.04;0.02;0.03;14.28;0.01;0.01;4.00;0.02;0.02;861.06;36147.40;7525.86;156.57;0.52;0.05;0.30;16.36;12.84
