Environmental Variable;nov/2020;nov/2020;dez/2020;dez/2020;jan/2021;jan/2021;fev/2021;fev/2021;mar/2021;mar/2021;abr/2021;abr/2021;mai/2021;mai/2021;jun/2021;jun/2021;jul/2021;jul/2021;ago/2021;ago/2021;set/2021;set/2021;out/2021;out/2021;nov/2021;nov/2021;dez/2021;dez/2021;jan/2022;jan/2022;fev/2022;fev/2022;mar/2022;mar/2022;abr/2022;abr/2022;mai/2022;mai/2022;jun/2022;jun/2022;jul/2022;jul/2022
;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var
CDOM (ppb);-0.08–0.16;-0.07–0.07;-0.04–0.03;-0.04–0.04;-0.04–0.04;-0.06–0.06;-0.04–0.05;-0.04–0.06;-0.10–0.10;-0.11–0.12;-0.05–0.03;-0.04–0.04;-0.09–0.09;-0.27–0.24;-0.15–0.12;-0.04–0.05;-0.03–0.02;-0.13–0.08;-0.08–0.10;-0.13–0.07;-0.05–-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Chlorophyll (µg L⁻¹);-0.05–0.07;-0.09–0.06;-0.17–0.18;-0.04–0.06;-0.08–0.08;-0.09–0.09;-0.06–0.10;-0.06–0.07;-0.05–0.05;-0.06–0.05;-0.06–0.07;-0.06–0.06;-0.06–0.09;-0.13–0.14;-0.06–0.06;-0.05–0.04;-0.07–0.08;-0.07–0.08;-0.04–0.06;-0.10–0.06;-0.05–-0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
DO (mL L⁻¹);-0.19–0.12;-0.28–0.15;-0.22–0.15;-0.21–0.11;-0.47–0.24;-0.21–0.12;-0.18–0.12;-0.30–0.17;-0.42–0.23;-0.32–0.20;-0.25–0.14;-0.13–0.13;-0.17–0.10;-0.31–0.19;-0.35–0.25;-0.14–0.09;-0.17–0.20;-0.05–0.08;-0.09–0.07;-0.08–0.07;-0.05–-0.05;0.00;0.01;0.00;0.01;0.01;0.00;0.00;0.01;0.02;0.01;0.00;0.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00
E‑W current (m s⁻¹);-0.07–0.07;-0.03–0.02;-0.04–0.04;-0.03–0.03;-0.04–0.04;-0.05–0.04;-0.03–0.05;-0.06–0.06;-0.05–0.03;-0.07–0.09;-0.04–0.07;-0.04–0.06;-0.06–0.05;-0.03–0.04;-0.03–0.03;-0.01–0.01;-0.02–0.01;-0.14–0.10;-0.02–0.04;-0.03–0.03;0.00–0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
E‑W wind (m s⁻¹);-0.73–0.57;-0.35–0.22;-0.20–0.20;-0.21–0.21;-0.17–0.16;-0.28–0.21;-0.36–0.38;-0.35–0.29;-0.28–0.31;-0.44–0.33;-0.42–0.25;-0.34–0.23;-0.74–0.32;-0.38–0.31;-0.27–0.32;-0.36–0.22;-0.16–0.31;-0.46–0.38;-0.45–0.39;-0.24–0.39;0.34–0.41;0.05;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.02;0.05;0.02;0.02;0.01;0.01;0.02;0.03;0.02;0.00
N‑S current (m s⁻¹);-0.09–0.05;-0.03–0.06;-0.03–0.04;-0.04–0.02;-0.11–0.11;-0.07–0.08;-0.14–0.11;-0.10–0.13;-0.10–0.10;-0.11–0.12;-0.06–0.06;-0.10–0.09;-0.08–0.07;-0.03–0.03;-0.02–0.03;-0.01–0.02;-0.14–0.12;-0.08–0.05;-0.08–0.05;-0.02–0.03;0.03–0.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N‑S wind (m s⁻¹);-0.97–1.21;-0.39–0.34;-0.29–0.40;-0.25–0.31;-0.27–0.36;-0.54–0.53;-0.65–0.59;-0.79–0.52;-0.83–0.84;-0.62–0.64;-0.99–0.85;-0.56–0.64;-0.95–0.55;-0.51–0.38;-0.33–0.35;-0.19–0.23;-0.30–0.36;-0.68–0.59;-0.60–0.93;-1.00–0.62;0.67–0.83;0.10;0.03;0.02;0.02;0.03;0.07;0.09;0.07;0.14;0.05;0.11;0.08;0.11;0.04;0.03;0.01;0.02;0.08;0.13;0.15;0.00
Rainfall (mm³);-0.38–0.52;-0.11–0.20;-0.83–1.19;-0.30–0.58;-0.20–0.49;-0.47–0.85;-0.24–0.41;-0.17–0.47;-0.36–0.60;-0.49–0.70;-0.12–0.22;-0.58–1.42;-0.49–1.23;-0.66–1.23;-0.10–0.25;-0.26–0.52;-0.74–1.21;-0.59–1.16;-0.41–0.63;-0.25–0.35;-0.27–-0.26;0.03;0.00;0.09;0.02;0.01;0.08;0.02;0.01;0.03;0.04;0.00;0.09;0.14;0.15;0.01;0.02;0.13;0.10;0.03;0.02;0.00
River discharge (m³ s⁻¹);-21.66–25.68;-28.68–28.21;-6.42–4.97;-2.05–2.49;-1.65–1.61;-2.08–2.38;-8.46–9.48;-1.52–1.35;-1.73–1.97;-2.40–2.09;-3.00–2.77;-4.12–4.49;-34.00–24.17;-274.09–181.66;-131.17–81.80;-16.22–12.89;-5.82–6.81;-3.79–3.89;-3.85–4.38;-38.49–10.40;-14.07–-7.14;109.08;101.48;5.44;1.63;1.10;1.41;7.13;0.88;1.41;1.86;3.40;7.41;124.48;7288.69;1482.27;38.02;12.64;6.59;6.72;72.73;8.91
Salinity;-0.24–0.14;-0.08–0.12;-0.08–0.07;-0.07–0.06;-0.04–0.04;-0.09–0.15;-0.10–0.08;-0.17–0.11;-0.20–0.12;-0.12–0.15;-0.13–0.11;-0.10–0.09;-0.16–0.18;-0.54–0.49;-0.97–0.60;-0.05–0.09;-0.13–0.07;-0.21–0.27;-0.19–0.26;-0.16–0.21;-0.05–-0.02;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.04;0.08;0.00;0.00;0.01;0.01;0.01;0.00
Solar radiation (kJ m⁻²);-263.08–213.39;-215.16–149.74;-259.59–199.18;-187.54–129.25;-127.05–177.05;-262.02–213.61;-98.14–93.87;-171.13–108.03;-185.01–124.35;-157.43–141.72;-182.89–148.97;-162.60–139.45;-274.58–211.93;-254.78–230.53;-211.66–137.96;-255.11–212.61;-251.24–176.30;-152.71–183.60;-151.78–145.73;-145.47–147.84;126.38–160.37;6860.56;4220.83;8106.82;4242.92;2909.70;10991.50;3003.49;4019.69;3156.50;3673.33;5547.77;6533.02;14125.69;11212.05;6722.68;11736.48;12458.92;4864.80;4610.11;4741.05;214.24
Subtidal elevation (m);-0.03–0.02;-0.01–0.01;-0.01–0.02;-0.01–0.01;-0.01–0.02;-0.03–0.03;-0.03–0.02;-0.02–0.02;-0.03–0.02;-0.01–0.01;-0.02–0.02;-0.01–0.02;-0.03–0.03;-0.02–0.03;-0.02–0.02;-0.03–0.02;-0.04–0.02;-0.03–0.02;-0.03–0.04;-0.03–0.04;0.00–0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
