Environmental Variable;nov/2020;nov/2020;dez/2020;dez/2020;jan/2021;jan/2021;fev/2021;fev/2021;mar/2021;mar/2021;abr/2021;abr/2021;mai/2021;mai/2021;jun/2021;jun/2021;jul/2021;jul/2021;ago/2021;ago/2021;set/2021;set/2021;out/2021;out/2021;nov/2021;nov/2021;dez/2021;dez/2021;jan/2022;jan/2022;fev/2022;fev/2022;mar/2022;mar/2022;abr/2022;abr/2022;mai/2022;mai/2022;jun/2022;jun/2022;jul/2022;jul/2022
;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var;Min-Max;Var
CDOM (ppb);-0.03–0.03;-0.03–0.03;-0.03–0.03;-0.01–0.01;-0.04–0.03;-0.05–0.05;-0.05–0.05;-0.04–0.04;-0.02–0.02;-0.04–0.04;-0.04–0.04;-0.05–0.05;-0.07–0.07;-0.08–0.08;-0.08–0.08;-0.07–0.06;-0.05–0.04;-0.04–0.03;-0.04–0.04;-0.03–0.03;-0.02–-0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
Chlorophyll (µg L⁻¹);-0.03–0.03;-0.03–0.03;-0.04–0.04;-0.05–0.05;-0.05–0.05;-0.05–0.05;-0.04–0.04;-0.04–0.04;-0.03–0.03;-0.04–0.04;-0.04–0.04;-0.04–0.04;-0.03–0.03;-0.01–0.02;-0.03–0.02;-0.03–0.03;-0.03–0.03;-0.01–0.02;-0.02–0.02;-0.03–0.03;0.02–0.02;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
DO (mL L⁻¹);-0.05–0.05;-0.05–0.05;-0.06–0.06;-0.06–0.06;-0.05–0.05;-0.02–0.02;-0.05–0.06;-0.07–0.07;-0.07–0.07;-0.05–0.05;-0.01–0.02;-0.02–0.02;-0.04–0.03;-0.06–0.05;-0.08–0.08;-0.09–0.09;-0.08–0.08;-0.05–0.05;-0.02–0.02;-0.04–0.04;0.04–0.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
E‑W current (m s⁻¹);-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.02–0.02;-0.02–0.02;-0.02–0.02;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.02–0.01;-0.02–0.02;-0.02–0.02;-0.02–0.02;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.00;-0.01–0.01;-0.01–0.01;0.01–0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
E‑W wind (m s⁻¹);-0.07–0.07;-0.07–0.07;-0.06–0.06;-0.04–0.04;-0.02–0.02;-0.01–0.01;-0.02–0.02;-0.01–0.01;-0.03–0.02;-0.05–0.04;-0.06–0.06;-0.06–0.06;-0.05–0.05;-0.03–0.03;-0.03–0.04;-0.05–0.05;-0.05–0.05;-0.05–0.04;-0.03–0.03;-0.05–0.05;-0.05–-0.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N‑S current (m s⁻¹);-0.01–0.01;-0.01–0.01;-0.02–0.02;-0.02–0.02;-0.02–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.02–0.01;-0.02–0.02;-0.03–0.03;-0.03–0.03;-0.02–0.02;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–0.01;-0.01–-0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
N‑S wind (m s⁻¹);-0.14–0.12;-0.08–0.07;-0.07–0.07;-0.08–0.08;-0.06–0.07;-0.04–0.03;-0.10–0.09;-0.15–0.16;-0.17–0.17;-0.17–0.16;-0.14–0.14;-0.08–0.09;-0.04–0.04;-0.06–0.05;-0.06–0.06;-0.05–0.04;-0.05–0.05;-0.11–0.12;-0.15–0.15;-0.16–0.15;-0.12–-0.12;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.01;0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;0.00
Rainfall (mm³);-0.04–0.04;-0.05–0.05;-0.05–0.05;-0.05–0.05;-0.04–0.04;-0.03–0.02;-0.02–0.03;-0.04–0.04;-0.04–0.04;-0.04–0.04;-0.03–0.03;-0.03–0.03;-0.02–0.02;-0.05–0.04;-0.08–0.07;-0.10–0.10;-0.10–0.10;-0.09–0.09;-0.05–0.06;-0.02–0.01;0.01–0.01;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
River discharge (m³ s⁻¹);-10.49–10.50;-9.71–10.03;-7.34–6.49;-3.57–2.64;-3.87–4.34;-4.72–4.77;-4.08–3.52;-2.56–3.34;-5.26–5.33;-5.33–5.10;-5.63–4.28;-14.21–12.23;-20.57–19.31;-22.70–22.64;-21.84–22.41;-16.70–14.87;-8.72–6.60;-4.30–5.58;-9.04–9.00;-10.45–10.33;-5.72–-5.20;50.70;44.58;17.57;3.61;6.02;10.28;4.90;2.97;11.90;10.21;5.46;59.85;161.34;250.85;210.07;96.90;16.03;6.71;31.22;53.06;0.05
